Temperature,Light,Motion
27.0,13.0,1057.0
27.0,12.0,957.0
27.0,16.0,1144.0
26.0,14.0,1187.0
27.0,13.0,1080.0
27.0,11.0,1065.0
27.0,11.0,1093.0
27.0,14.0,1061.0
27.0,13.0,1113.0
26.0,17.0,1020.0
27.0,12.0,1192.0
27.0,12.0,1160.0
26.0,13.0,459.0
27.0,14.0,894.0
26.0,16.0,1062.0
27.0,11.0,1072.0
27.0,14.0,2174.0
28.0,11.0,1055.0
27.0,15.0,1049.0
28.0,12.0,1142.0
27.0,7.0,1082.0
26.0,16.0,1097.0
27.0,11.0,1107.0
27.0,0.0,1161.0
27.0,12.0,985.0
27.0,8.0,1074.0
27.0,14.0,1031.0
27.0,7.0,1060.0
