"STATISTIC","Statistic Label","TLIST(M1)","Month","C02431V02938","Meteorological Weather Station","UNIT","VALUE"
"MTM02C1","Average Maximum Temperature","195801","1958M01","001","Belmullet","Degrees C","8.2"
"MTM02C1","Average Maximum Temperature","195801","1958M01","002","Birr","Degrees C","7.8"
"MTM02C1","Average Maximum Temperature","195801","1958M01","003","Valentia Observatory","Degrees C","9.7"
"MTM02C1","Average Maximum Temperature","195801","1958M01","004","Casement","Degrees C",""
"MTM02C1","Average Maximum Temperature","195801","1958M01","005","Claremorris","Degrees C","7.4"
"MTM02C1","Average Maximum Temperature","195801","1958M01","006","Clones","Degrees C","6.7"
"MTM02C1","Average Maximum Temperature","195801","1958M01","007","Cork airport","Degrees C",""
"MTM02C1","Average Maximum Temperature","195801","1958M01","008","Dublin airport","Degrees C","7.5"
"MTM02C1","Average Maximum Temperature","195801","1958M01","009","Galway","Degrees C",""
"MTM02C1","Average Maximum Temperature","195801","1958M01","010","Kilkenny","Degrees C","8"
"MTM02C1","Average Maximum Temperature","195801","1958M01","011","Malin head","Degrees C","7.5"
"MTM02C1","Average Maximum Temperature","195801","1958M01","012","Mullingar","Degrees C","7"
"MTM02C1","Average Maximum Temperature","195801","1958M01","013","Roches Point","Degrees C","8.9"
"MTM02C1","Average Maximum Temperature","195801","1958M01","014","Rosslare","Degrees C","8.3"
"MTM02C1","Average Maximum Temperature","195801","1958M01","015","Shannon airport","Degrees C","8.4"
"MTM02C1","Average Maximum Temperature","195802","1958M02","001","Belmullet","Degrees C","8.8"
"MTM02C1","Average Maximum Temperature","195802","1958M02","002","Birr","Degrees C","8.7"
"MTM02C1","Average Maximum Temperature","195802","1958M02","003","Valentia Observatory","Degrees C","10.6"
"MTM02C1","Average Maximum Temperature","195802","1958M02","004","Casement","Degrees C",""
"MTM02C1","Average Maximum Temperature","195802","1958M02","005","Claremorris","Degrees C","8.3"
"MTM02C1","Average Maximum Temperature","195802","1958M02","006","Clones","Degrees C","7.8"
"MTM02C1","Average Maximum Temperature","195802","1958M02","007","Cork airport","Degrees C",""
"MTM02C1","Average Maximum Temperature","195802","1958M02","008","Dublin airport","Degrees C","8.2"
"MTM02C1","Average Maximum Temperature","195802","1958M02","009","Galway","Degrees C",""
"MTM02C1","Average Maximum Temperature","195802","1958M02","010","Kilkenny","Degrees C","9.1"
"MTM02C1","Average Maximum Temperature","195802","1958M02","011","Malin head","Degrees C","7.8"
"MTM02C1","Average Maximum Temperature","195802","1958M02","012","Mullingar","Degrees C","8"
"MTM02C1","Average Maximum Temperature","195802","1958M02","013","Roches Point","Degrees C","10.1"
"MTM02C1","Average Maximum Temperature","195802","1958M02","014","Rosslare","Degrees C","9.4"
"MTM02C1","Average Maximum Temperature","195802","1958M02","015","Shannon airport","Degrees C","9.5"
"MTM02C1","Average Maximum Temperature","195803","1958M03","001","Belmullet","Degrees C","7.8"
"MTM02C1","Average Maximum Temperature","195803","1958M03","002","Birr","Degrees C","7.8"
"MTM02C1","Average Maximum Temperature","195803","1958M03","003","Valentia Observatory","Degrees C","9.8"
"MTM02C1","Average Maximum Temperature","195803","1958M03","004","Casement","Degrees C",""
"MTM02C1","Average Maximum Temperature","195803","1958M03","005","Claremorris","Degrees C","7.2"
"MTM02C1","Average Maximum Temperature","195803","1958M03","006","Clones","Degrees C","6.8"
"MTM02C1","Average Maximum Temperature","195803","1958M03","007","Cork airport","Degrees C",""
"MTM02C1","Average Maximum Temperature","195803","1958M03","008","Dublin airport","Degrees C","7.1"
"MTM02C1","Average Maximum Temperature","195803","1958M03","009","Galway","Degrees C",""
"MTM02C1","Average Maximum Temperature","195803","1958M03","010","Kilkenny","Degrees C","7.9"
"MTM02C1","Average Maximum Temperature","195803","1958M03","011","Malin head","Degrees C","6.5"
"MTM02C1","Average Maximum Temperature","195803","1958M03","012","Mullingar","Degrees C","7.2"
"MTM02C1","Average Maximum Temperature","195803","1958M03","013","Roches Point","Degrees C","8.5"
"MTM02C1","Average Maximum Temperature","195803","1958M03","014","Rosslare","Degrees C","7.5"
"MTM02C1","Average Maximum Temperature","195803","1958M03","015","Shannon airport","Degrees C","8.7"
"MTM02C1","Average Maximum Temperature","195804","1958M04","001","Belmullet","Degrees C","11.6"
"MTM02C1","Average Maximum Temperature","195804","1958M04","002","Birr","Degrees C","12"
"MTM02C1","Average Maximum Temperature","195804","1958M04","003","Valentia Observatory","Degrees C","12.1"
"MTM02C1","Average Maximum Temperature","195804","1958M04","004","Casement","Degrees C",""
"MTM02C1","Average Maximum Temperature","195804","1958M04","005","Claremorris","Degrees C","11.8"
"MTM02C1","Average Maximum Temperature","195804","1958M04","006","Clones","Degrees C","11.2"
"MTM02C1","Average Maximum Temperature","195804","1958M04","007","Cork airport","Degrees C",""
"MTM02C1","Average Maximum Temperature","195804","1958M04","008","Dublin airport","Degrees C","11.2"
"MTM02C1","Average Maximum Temperature","195804","1958M04","009","Galway","Degrees C",""
"MTM02C1","Average Maximum Temperature","195804","1958M04","010","Kilkenny","Degrees C","12.3"
"MTM02C1","Average Maximum Temperature","195804","1958M04","011","Malin head","Degrees C","10.3"
"MTM02C1","Average Maximum Temperature","195804","1958M04","012","Mullingar","Degrees C","11.7"
"MTM02C1","Average Maximum Temperature","195804","1958M04","013","Roches Point","Degrees C","11.6"
"MTM02C1","Average Maximum Temperature","195804","1958M04","014","Rosslare","Degrees C","11.2"
"MTM02C1","Average Maximum Temperature","195804","1958M04","015","Shannon airport","Degrees C","12.9"
"MTM02C1","Average Maximum Temperature","195805","1958M05","001","Belmullet","Degrees C","13"
"MTM02C1","Average Maximum Temperature","195805","1958M05","002","Birr","Degrees C","14.8"
"MTM02C1","Average Maximum Temperature","195805","1958M05","003","Valentia Observatory","Degrees C","13.8"
"MTM02C1","Average Maximum Temperature","195805","1958M05","004","Casement","Degrees C",""
"MTM02C1","Average Maximum Temperature","195805","1958M05","005","Claremorris","Degrees C","13.9"
"MTM02C1","Average Maximum Temperature","195805","1958M05","006","Clones","Degrees C","13.9"
"MTM02C1","Average Maximum Temperature","195805","1958M05","007","Cork airport","Degrees C",""
"MTM02C1","Average Maximum Temperature","195805","1958M05","008","Dublin airport","Degrees C","13.7"
"MTM02C1","Average Maximum Temperature","195805","1958M05","009","Galway","Degrees C",""
"MTM02C1","Average Maximum Temperature","195805","1958M05","010","Kilkenny","Degrees C","14.6"
"MTM02C1","Average Maximum Temperature","195805","1958M05","011","Malin head","Degrees C","12.1"
"MTM02C1","Average Maximum Temperature","195805","1958M05","012","Mullingar","Degrees C","14.5"
"MTM02C1","Average Maximum Temperature","195805","1958M05","013","Roches Point","Degrees C","13.7"
"MTM02C1","Average Maximum Temperature","195805","1958M05","014","Rosslare","Degrees C","13.4"
"MTM02C1","Average Maximum Temperature","195805","1958M05","015","Shannon airport","Degrees C","15"
"MTM02C1","Average Maximum Temperature","195806","1958M06","001","Belmullet","Degrees C","15.7"
"MTM02C1","Average Maximum Temperature","195806","1958M06","002","Birr","Degrees C","16.9"
"MTM02C1","Average Maximum Temperature","195806","1958M06","003","Valentia Observatory","Degrees C","15.8"
"MTM02C1","Average Maximum Temperature","195806","1958M06","004","Casement","Degrees C",""
"MTM02C1","Average Maximum Temperature","195806","1958M06","005","Claremorris","Degrees C","16.2"
"MTM02C1","Average Maximum Temperature","195806","1958M06","006","Clones","Degrees C","16.3"
"MTM02C1","Average Maximum Temperature","195806","1958M06","007","Cork airport","Degrees C",""
"MTM02C1","Average Maximum Temperature","195806","1958M06","008","Dublin airport","Degrees C","16.2"
"MTM02C1","Average Maximum Temperature","195806","1958M06","009","Galway","Degrees C",""
"MTM02C1","Average Maximum Temperature","195806","1958M06","010","Kilkenny","Degrees C","16.8"
"MTM02C1","Average Maximum Temperature","195806","1958M06","011","Malin head","Degrees C","14.6"
"MTM02C1","Average Maximum Temperature","195806","1958M06","012","Mullingar","Degrees C","16.9"
"MTM02C1","Average Maximum Temperature","195806","1958M06","013","Roches Point","Degrees C","15.9"
"MTM02C1","Average Maximum Temperature","195806","1958M06","014","Rosslare","Degrees C","15.6"
"MTM02C1","Average Maximum Temperature","195806","1958M06","015","Shannon airport","Degrees C","17.1"
"MTM02C1","Average Maximum Temperature","195807","1958M07","001","Belmullet","Degrees C","17.6"
"MTM02C1","Average Maximum Temperature","195807","1958M07","002","Birr","Degrees C","18.7"
"MTM02C1","Average Maximum Temperature","195807","1958M07","003","Valentia Observatory","Degrees C","17.5"
"MTM02C1","Average Maximum Temperature","195807","1958M07","004","Casement","Degrees C",""
"MTM02C1","Average Maximum Temperature","195807","1958M07","005","Claremorris","Degrees C","18.3"
"MTM02C1","Average Maximum Temperature","195807","1958M07","006","Clones","Degrees C","18.4"
"MTM02C1","Average Maximum Temperature","195807","1958M07","007","Cork airport","Degrees C",""
"MTM02C1","Average Maximum Temperature","195807","1958M07","008","Dublin airport","Degrees C","18"
"MTM02C1","Average Maximum Temperature","195807","1958M07","009","Galway","Degrees C",""
"MTM02C1","Average Maximum Temperature","195807","1958M07","010","Kilkenny","Degrees C","18.9"
"MTM02C1","Average Maximum Temperature","195807","1958M07","011","Malin head","Degrees C","16.5"
"MTM02C1","Average Maximum Temperature","195807","1958M07","012","Mullingar","Degrees C","18.7"
"MTM02C1","Average Maximum Temperature","195807","1958M07","013","Roches Point","Degrees C","17.6"
"MTM02C1","Average Maximum Temperature","195807","1958M07","014","Rosslare","Degrees C","17.1"
"MTM02C1","Average Maximum Temperature","195807","1958M07","015","Shannon airport","Degrees C","18.6"
"MTM02C1","Average Maximum Temperature","195808","1958M08","001","Belmullet","Degrees C","17.4"
"MTM02C1","Average Maximum Temperature","195808","1958M08","002","Birr","Degrees C","18.4"
"MTM02C1","Average Maximum Temperature","195808","1958M08","003","Valentia Observatory","Degrees C","17.7"
"MTM02C1","Average Maximum Temperature","195808","1958M08","004","Casement","Degrees C",""
"MTM02C1","Average Maximum Temperature","195808","1958M08","005","Claremorris","Degrees C","18.1"
"MTM02C1","Average Maximum Temperature","195808","1958M08","006","Clones","Degrees C","17.7"
"MTM02C1","Average Maximum Temperature","195808","1958M08","007","Cork airport","Degrees C",""
"MTM02C1","Average Maximum Temperature","195808","1958M08","008","Dublin airport","Degrees C","18"
"MTM02C1","Average Maximum Temperature","195808","1958M08","009","Galway","Degrees C",""
"MTM02C1","Average Maximum Temperature","195808","1958M08","010","Kilkenny","Degrees C","19"
"MTM02C1","Average Maximum Temperature","195808","1958M08","011","Malin head","Degrees C","17.1"
"MTM02C1","Average Maximum Temperature","195808","1958M08","012","Mullingar","Degrees C","18.3"
"MTM02C1","Average Maximum Temperature","195808","1958M08","013","Roches Point","Degrees C","17.6"
"MTM02C1","Average Maximum Temperature","195808","1958M08","014","Rosslare","Degrees C","17.7"
"MTM02C1","Average Maximum Temperature","195808","1958M08","015","Shannon airport","Degrees C","18.6"
"MTM02C1","Average Maximum Temperature","195809","1958M09","001","Belmullet","Degrees C","17.6"
"MTM02C1","Average Maximum Temperature","195809","1958M09","002","Birr","Degrees C","18"
"MTM02C1","Average Maximum Temperature","195809","1958M09","003","Valentia Observatory","Degrees C","17.9"
"MTM02C1","Average Maximum Temperature","195809","1958M09","004","Casement","Degrees C",""
"MTM02C1","Average Maximum Temperature","195809","1958M09","005","Claremorris","Degrees C","17.3"
"MTM02C1","Average Maximum Temperature","195809","1958M09","006","Clones","Degrees C","17.7"
"MTM02C1","Average Maximum Temperature","195809","1958M09","007","Cork airport","Degrees C",""
"MTM02C1","Average Maximum Temperature","195809","1958M09","008","Dublin airport","Degrees C","17.4"
"MTM02C1","Average Maximum Temperature","195809","1958M09","009","Galway","Degrees C",""
"MTM02C1","Average Maximum Temperature","195809","1958M09","010","Kilkenny","Degrees C","18.1"
"MTM02C1","Average Maximum Temperature","195809","1958M09","011","Malin head","Degrees C","16.9"
"MTM02C1","Average Maximum Temperature","195809","1958M09","012","Mullingar","Degrees C","17.7"
"MTM02C1","Average Maximum Temperature","195809","1958M09","013","Roches Point","Degrees C","16.9"
"MTM02C1","Average Maximum Temperature","195809","1958M09","014","Rosslare","Degrees C","17.2"
"MTM02C1","Average Maximum Temperature","195809","1958M09","015","Shannon airport","Degrees C","18.1"
"MTM02C1","Average Maximum Temperature","195810","1958M10","001","Belmullet","Degrees C","13.6"
"MTM02C1","Average Maximum Temperature","195810","1958M10","002","Birr","Degrees C","13.9"
"MTM02C1","Average Maximum Temperature","195810","1958M10","003","Valentia Observatory","Degrees C","14"
"MTM02C1","Average Maximum Temperature","195810","1958M10","004","Casement","Degrees C",""
"MTM02C1","Average Maximum Temperature","195810","1958M10","005","Claremorris","Degrees C","13.4"
"MTM02C1","Average Maximum Temperature","195810","1958M10","006","Clones","Degrees C","13.2"
"MTM02C1","Average Maximum Temperature","195810","1958M10","007","Cork airport","Degrees C",""
"MTM02C1","Average Maximum Temperature","195810","1958M10","008","Dublin airport","Degrees C","13.7"
"MTM02C1","Average Maximum Temperature","195810","1958M10","009","Galway","Degrees C",""
"MTM02C1","Average Maximum Temperature","195810","1958M10","010","Kilkenny","Degrees C","14.3"
"MTM02C1","Average Maximum Temperature","195810","1958M10","011","Malin head","Degrees C","13.2"
"MTM02C1","Average Maximum Temperature","195810","1958M10","012","Mullingar","Degrees C","13.6"
"MTM02C1","Average Maximum Temperature","195810","1958M10","013","Roches Point","Degrees C","14.4"
"MTM02C1","Average Maximum Temperature","195810","1958M10","014","Rosslare","Degrees C","14.4"
"MTM02C1","Average Maximum Temperature","195810","1958M10","015","Shannon airport","Degrees C","14.3"
"MTM02C1","Average Maximum Temperature","195811","1958M11","001","Belmullet","Degrees C","11.4"
"MTM02C1","Average Maximum Temperature","195811","1958M11","002","Birr","Degrees C","10.9"
"MTM02C1","Average Maximum Temperature","195811","1958M11","003","Valentia Observatory","Degrees C","12.4"
"MTM02C1","Average Maximum Temperature","195811","1958M11","004","Casement","Degrees C",""
"MTM02C1","Average Maximum Temperature","195811","1958M11","005","Claremorris","Degrees C","10.7"
"MTM02C1","Average Maximum Temperature","195811","1958M11","006","Clones","Degrees C","10.1"
"MTM02C1","Average Maximum Temperature","195811","1958M11","007","Cork airport","Degrees C",""
"MTM02C1","Average Maximum Temperature","195811","1958M11","008","Dublin airport","Degrees C","10.6"
"MTM02C1","Average Maximum Temperature","195811","1958M11","009","Galway","Degrees C",""
"MTM02C1","Average Maximum Temperature","195811","1958M11","010","Kilkenny","Degrees C","11"
"MTM02C1","Average Maximum Temperature","195811","1958M11","011","Malin head","Degrees C","10.9"
"MTM02C1","Average Maximum Temperature","195811","1958M11","012","Mullingar","Degrees C","10.2"
